product_id,category,weight_kg,volume_l,price_eur,margin_pct,monthly_sales,return_rate_pct,shipping_cost_eur,rating,restock_days
P-BO0008,Books,0.57,1.12,11.14,22.5,448.0,3.2,2.4,4.26,8.0
P-EL0013,Electronics,1.99,2.32,148.31,9.8,249.0,5.8,5.12,3.98,18.0
P-FO0014,Food,0.78,1.11,19.0,11.4,648.0,0.3,3.21,4.08,3.0
P-EL0032,Electronics,0.95,2.08,204.22,4.0,141.0,4.8,3.5,4.25,15.0
P-FO0060,Food,1.81,2.85,7.38,31.2,828.0,0.0,5.03,4.26,3.0
P-AP0055,Apparel,0.74,2.07,47.04,12.4,487.0,21.1,3.15,2.97,12.0
P-HO0049,Home,8.75,28.72,44.67,15.7,639.0,6.7,20.7,4.19,22.0
P-HO0017,Home,9.89,24.21,53.75,14.5,371.0,5.9,19.13,4.63,17.0
P-HO0021,Home,9.19,22.51,51.03,14.6,302.0,7.8,18.15,4.75,12.0
P-HO0093,Home,2.46,5.92,97.13,10.7,226.0,5.7,5.96,4.31,13.0
P-AP0032,Apparel,0.68,1.05,34.2,12.1,659.0,14.9,3.86,3.87,9.0
P-FO0065,Food,0.88,2.26,7.75,22.5,872.0,1.3,3.45,4.51,3.0
P-FO0038,Food,2.0,2.95,10.56,24.1,559.0,0.1,4.98,4.11,2.0
P-AP0079,Apparel,0.49,1.35,53.18,13.3,647.0,36.0,3.35,3.25,14.0
P-FO0097,Food,1.67,2.19,24.56,17.8,742.0,0.0,4.01,3.89,1.0
P-BO0090,Books,0.97,1.37,23.26,24.1,346.0,1.7,2.8,3.52,7.0
P-FO0082,Food,1.91,2.59,13.66,20.9,689.0,0.0,5.39,4.31,3.0
P-FO0072,Food,2.32,4.74,9.86,25.2,683.0,1.1,6.23,3.57,4.0
P-FO0016,Food,3.08,6.98,11.7,22.0,1181.0,2.0,8.26,4.34,4.0
P-BO0002,Books,0.73,1.7,27.08,26.1,705.0,1.6,4.11,3.75,8.0
P-AP0038,Apparel,0.61,1.4,43.43,17.8,1114.0,11.8,2.59,3.87,8.0
P-HO0028,Home,4.38,10.23,75.99,13.7,667.0,5.4,9.71,4.48,11.0
P-BO0021,Books,0.89,1.76,19.69,26.1,644.0,2.1,3.4,4.01,7.0
P-AP0001,Apparel,0.42,0.61,57.53,11.7,178.0,19.3,2.35,4.22,9.0
P-HO0005,Home,2.74,3.48,109.68,7.8,217.0,3.9,4.73,4.44,11.0
P-BO0077,Books,0.41,0.62,17.12,14.1,671.0,0.0,2.59,4.0,7.0
P-AP0018,Apparel,0.74,1.2,51.8,9.5,233.0,30.0,3.06,3.65,12.0
P-EL0060,Electronics,0.56,0.76,163.64,6.8,197.0,5.8,1.79,4.55,16.0
P-EL0090,Electronics,1.62,4.89,162.74,4.0,260.0,2.8,5.59,3.71,17.0
P-BO0061,Books,0.24,0.53,17.8,21.5,754.0,0.7,1.5,3.45,7.0
P-BO0099,Books,0.37,0.86,15.75,23.8,558.0,2.2,2.49,4.32,9.0
P-BO0054,Books,0.81,1.14,7.68,24.0,610.0,1.6,3.09,4.73,9.0
P-EL0051,Electronics,1.59,2.1,206.35,9.4,165.0,7.4,4.25,3.82,18.0
P-BO0053,Books,0.53,1.02,6.58,26.4,737.0,3.2,2.47,4.36,4.0
P-HO0043,Home,3.31,3.1,51.58,15.9,547.0,4.6,6.79,4.36,11.0
P-FO0067,Food,1.1,2.26,23.35,14.9,554.0,0.1,4.22,4.02,3.0
P-FO0046,Food,3.42,3.73,11.56,28.5,659.0,1.1,6.73,3.68,3.0
P-HO0012,Home,7.35,15.62,91.11,14.6,432.0,8.1,13.09,4.04,12.0
P-FO0004,Food,1.86,3.91,17.78,14.3,1028.0,0.7,6.21,4.09,3.0
P-HO0045,Home,2.6,2.72,47.03,12.1,333.0,2.8,7.31,3.82,13.0
P-HO0036,Home,7.18,12.79,58.18,14.6,362.0,11.2,12.44,3.49,13.0
P-BO0055,Books,0.29,0.84,11.98,18.5,528.0,2.4,1.5,3.67,7.0
P-EL0082,Electronics,1.02,1.62,260.85,4.0,124.0,5.2,4.56,4.8,15.0
P-BO0063,Books,0.75,3.36,13.41,23.1,854.0,3.9,3.4,3.4,7.0
P-HO0094,Home,5.77,10.66,72.7,13.0,480.0,3.0,11.88,3.32,19.0
P-AP0015,Apparel,0.67,0.89,46.44,9.5,792.0,15.0,3.27,4.04,10.0
P-HO0061,Home,3.99,5.93,139.41,4.6,152.0,2.8,6.95,4.07,12.0
P-HO0040,Home,4.99,6.13,101.25,9.9,392.0,8.3,8.89,4.15,16.0
P-FO0023,Food,2.89,6.84,11.03,26.3,411.0,1.3,6.36,4.13,2.0
P-FO0013,Food,1.46,2.69,10.88,18.4,1293.0,1.5,4.36,4.18,2.0
P-FO0062,Food,1.48,2.92,7.47,28.0,604.0,1.5,4.23,3.9,4.0
P-FO0089,Food,3.3,5.13,8.98,21.2,957.0,2.8,7.26,4.76,3.0
P-BO0076,Books,0.64,0.78,13.15,22.5,916.0,3.2,3.49,3.08,8.0
P-HO0058,Home,7.76,12.82,55.0,16.7,554.0,7.7,12.38,4.59,13.0
P-BO0097,Books,0.45,0.82,45.73,12.4,391.0,1.9,2.71,4.55,6.0
P-FO0055,Food,2.11,3.26,5.67,19.6,899.0,0.5,5.92,3.75,5.0
P-HO0002,Home,5.67,12.22,83.27,8.6,301.0,0.0,11.78,4.55,14.0
P-HO0067,Home,8.82,15.46,69.1,5.7,306.0,4.1,16.48,4.22,13.0
P-AP0088,Apparel,0.35,0.76,57.5,21.7,415.0,24.7,2.09,3.54,11.0
P-AP0062,Apparel,0.25,0.4,40.64,19.0,243.0,15.0,2.0,3.75,8.0
P-FO0098,Food,1.12,2.58,9.3,22.0,851.0,0.0,5.28,3.64,3.0
P-HO0020,Home,2.52,3.26,70.41,14.7,337.0,5.9,4.31,3.88,12.0
P-BO0018,Books,0.8,1.8,11.97,24.6,519.0,4.7,4.34,4.07,7.0
P-FO0056,Food,1.62,2.75,7.58,22.8,1024.0,1.3,3.4,4.45,3.0
P-EL0065,Electronics,1.71,2.35,269.9,10.3,99.0,7.9,3.37,3.14,25.0
P-HO0059,Home,3.47,5.23,45.21,12.2,512.0,8.5,5.81,4.6,16.0
P-FO0036,Food,1.6,2.49,15.12,26.5,1410.0,2.2,4.65,4.12,3.0
P-BO0050,Books,0.6,1.02,11.27,27.4,772.0,3.4,3.14,3.32,6.0
P-BO0060,Books,0.37,0.42,10.83,28.4,696.0,2.1,2.64,4.1,8.0
P-FO0070,Food,2.24,3.54,12.08,16.8,640.0,1.9,4.57,3.36,3.0
P-HO0095,Home,5.0,10.13,95.81,4.0,367.0,2.4,11.8,3.68,17.0
P-EL0030,Electronics,3.15,5.04,100.24,16.4,178.0,5.1,7.92,4.2,23.0
P-EL0022,Electronics,2.08,4.0,193.17,11.1,125.0,9.5,5.66,2.88,15.0
P-HO0056,Home,6.02,14.24,57.48,15.0,415.0,5.3,13.3,3.05,15.0
P-EL0031,Electronics,1.0,1.19,142.12,10.8,233.0,3.6,5.3,4.06,29.0
P-FO0022,Food,1.21,2.88,11.7,18.8,433.0,0.2,6.59,3.42,2.0
P-EL0052,Electronics,0.62,0.68,359.4,4.0,178.0,6.8,4.17,3.51,26.0
P-FO0076,Food,1.12,1.54,7.66,27.0,303.0,1.3,4.29,3.39,3.0
P-HO0042,Home,9.65,12.02,150.67,18.7,116.0,0.4,14.42,3.95,11.0
P-HO0064,Home,7.41,10.69,61.86,15.7,418.0,10.7,12.12,4.4,13.0
