order_id,order_date,region,carrier,product_category,order_value_eur,delivery_days
ORD-2025164,2024-01-01,Nord,Hermes,Electronics,100.47,1.9
ORD-2024991,2024-01-01,Ost,Hermes,Apparel,88.17,5.7
ORD-2027580,2024-01-01,Ost,UPS,Home,68.91,2.6
ORD-2027071,2024-01-01,Nord,GLS,Home,69.65,4.6
ORD-2026010,2024-01-01,West,UPS,Books,205.15,2.1
ORD-2025987,2024-01-01,West,DPD,Food,61.71,4.0
ORD-2028191,2024-01-01,Nord,UPS,Food,46.25,2.2
ORD-2024446,2024-01-01,Zentral,DPD,Electronics,25.76,3.2
ORD-2024648,2024-01-01,West,DHL,Food,34.4,3.3
ORD-2027275,2024-01-01,Sued,DHL,Electronics,97.47,1.0
ORD-2024755,2024-01-01,Zentral,DHL,Apparel,27.86,3.0
ORD-2026070,2024-01-01,Nord,DHL,Apparel,24.45,2.7
ORD-2024848,2024-01-01,West,Hermes,Apparel,43.32,5.5
ORD-2025028,2024-01-01,Zentral,DPD,Apparel,24.22,2.6
ORD-2024677,2024-01-01,West,UPS,Food,65.23,2.4
ORD-2028323,2024-01-02,Sued,DPD,Home,50.56,4.9
ORD-2025823,2024-01-02,Zentral,DHL,Food,14.5,1.6
ORD-2028758,2024-01-02,Nord,Hermes,Apparel,26.33,3.0
ORD-2026910,2024-01-02,West,Hermes,Electronics,19.9,1.0
ORD-2024263,2024-01-02,Nord,Hermes,Home,93.16,4.9
ORD-2027152,2024-01-02,Sued,DHL,Apparel,27.0,2.2
ORD-2024206,2024-01-02,Zentral,Hermes,Apparel,11.55,5.7
ORD-2028249,2024-01-02,Nord,DHL,Electronics,278.88,2.0
ORD-2026173,2024-01-02,Nord,Hermes,Electronics,167.84,4.1
ORD-2025948,2024-01-02,Ost,GLS,Home,105.75,3.3
ORD-2024063,2024-01-02,West,DHL,Apparel,146.61,1.9
ORD-2027330,2024-01-02,Ost,GLS,Apparel,43.87,2.0
ORD-2025289,2024-01-02,Sued,DHL,Apparel,85.68,3.5
ORD-2025864,2024-01-03,Sued,Hermes,Home,63.32,4.2
ORD-2027930,2024-01-03,Sued,DHL,Apparel,97.38,1.7
ORD-2028489,2024-01-03,Ost,DPD,Food,10.54,3.6
ORD-2026124,2024-01-03,Zentral,Hermes,Apparel,30.13,1.9
ORD-2024895,2024-01-03,West,GLS,Electronics,66.05,3.1
ORD-2025577,2024-01-03,Zentral,DHL,Books,43.22,1.5
ORD-2028687,2024-01-03,Sued,UPS,Home,29.36,1.3
ORD-2028845,2024-01-03,Ost,GLS,Home,49.31,2.4
ORD-2026677,2024-01-03,Nord,DPD,Electronics,149.37,1.9
ORD-2028131,2024-01-03,Sued,DHL,Electronics,72.68,3.6
ORD-2026731,2024-01-03,Ost,GLS,Books,63.59,3.8
ORD-2027769,2024-01-03,Zentral,DPD,Electronics,16.56,2.2
ORD-2025518,2024-01-03,Sued,UPS,Electronics,14.13,1.1
ORD-2028205,2024-01-03,Nord,DPD,Apparel,40.45,3.5
ORD-2026657,2024-01-03,West,DHL,Electronics,22.05,1.6
ORD-2026321,2024-01-03,West,Hermes,Apparel,26.68,1.0
ORD-2025486,2024-01-04,West,DHL,Apparel,55.42,2.1
ORD-2024968,2024-01-04,Sued,Hermes,Electronics,132.63,2.3
ORD-2026728,2024-01-04,Nord,DPD,Food,60.61,5.4
ORD-2025328,2024-01-04,Nord,UPS,Electronics,62.4,2.6
ORD-2024948,2024-01-04,West,DPD,Electronics,29.02,1.7
ORD-2025911,2024-01-04,Sued,DPD,Apparel,66.13,3.2
ORD-2024325,2024-01-04,Zentral,DPD,Apparel,82.78,3.2
ORD-2028104,2024-01-04,Nord,DHL,Apparel,86.16,2.4
ORD-2025723,2024-01-04,Ost,Hermes,Electronics,24.62,5.4
ORD-2027077,2024-01-04,West,DHL,Home,178.74,3.0
ORD-2024496,2024-01-04,West,DHL,Apparel,78.33,3.6
ORD-2027866,2024-01-04,Nord,DPD,Home,67.02,2.5
ORD-2026281,2024-01-05,Nord,Hermes,Home,43.51,5.3
ORD-2024415,2024-01-05,Sued,Hermes,Food,23.34,5.8
ORD-2027907,2024-01-05,Nord,DPD,Home,49.07,1.0
ORD-2028797,2024-01-05,West,DHL,Apparel,43.35,3.2
ORD-2026909,2024-01-05,Nord,Hermes,Home,190.03,3.7
ORD-2026330,2024-01-05,West,DHL,Home,17.3,2.1
ORD-2024842,2024-01-05,Sued,DPD,Books,14.36,3.3
ORD-2025561,2024-01-05,Ost,DHL,Apparel,31.13,3.3
ORD-2025044,2024-01-05,Zentral,DHL,Electronics,64.15,1.6
ORD-2026051,2024-01-05,Nord,DHL,Apparel,114.93,2.5
ORD-2024613,2024-01-05,Ost,DHL,Apparel,116.08,1.5
ORD-2025091,2024-01-05,West,DHL,Apparel,170.07,2.6
ORD-2024720,2024-01-05,Nord,GLS,Books,15.52,2.2
ORD-2024128,2024-01-05,Nord,DHL,Home,99.54,2.2
ORD-2026431,2024-01-05,Zentral,DHL,Apparel,87.41,1.8
ORD-2028270,2024-01-05,Nord,GLS,Food,55.42,3.6
ORD-2027494,2024-01-05,Sued,Hermes,Home,22.18,2.9
ORD-2027477,2024-01-05,Zentral,DHL,Books,43.49,3.5
ORD-2028663,2024-01-06,Sued,Hermes,Books,113.78,6.1
ORD-2024934,2024-01-06,Zentral,Hermes,Home,53.84,4.2
ORD-2027931,2024-01-06,Sued,DHL,Home,46.44,4.5
ORD-2028537,2024-01-06,Ost,GLS,Food,14.4,1.6
ORD-2024741,2024-01-06,West,DHL,Electronics,99.57,2.9
ORD-2024334,2024-01-06,West,DPD,Home,20.41,3.6
ORD-2024964,2024-01-06,Sued,UPS,Apparel,50.57,1.6
ORD-2028308,2024-01-06,Nord,Hermes,Food,28.68,3.3
ORD-2026862,2024-01-07,Ost,GLS,Apparel,61.01,4.3
ORD-2026467,2024-01-07,Nord,DHL,Electronics,12.08,3.2
ORD-2028616,2024-01-07,Ost,DHL,Books,19.86,2.6
ORD-2026381,2024-01-07,Nord,DHL,Apparel,62.76,1.3
ORD-2025714,2024-01-07,Ost,UPS,Books,61.39,2.6
ORD-2025462,2024-01-07,Nord,GLS,Electronics,52.09,2.5
ORD-2027379,2024-01-07,Sued,UPS,Electronics,57.73,2.1
ORD-2024605,2024-01-07,West,DPD,Home,27.65,9.5
ORD-2028372,2024-01-07,Nord,Hermes,Apparel,64.05,6.7
